Sponsor,Control Unit,Division,Department,Sponsor Class,2014,2015,2016
NIH National Institutes of Health - Miscellaneous,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,"$1,234,563 ","$2,462,637 ","$176,545 "
NIH National Library of Medicine,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,nan,nan,"$1,516,560 "
NIH Office of the Director,Colleges,CNR College of Natural Resources,Null,Federal,"$600,000 ",nan,nan
NIH Office of the Director,Colleges,College of Chemistry,Chemistry Department,Federal,nan,$0 ,$0 
NIH Office of the Director,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,"$1,954,558 ",$0 ,$0 
NIH Office of the Director,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,"$531,872 ","$600,000 ","$979,500 "
NIH Office of the Director,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,"($7,699)","($5,005)",$0 
NIH Tetramer Facility,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,nan,nan,$0 
NIST National Institute of Standards & Technology,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,"($193,415)","$144,597 ",$0 
NIST National Institute of Standards & Technology,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,$0 ,nan,nan
NIST National Institute of Standards & Technology,L&S College of Letters & Sciences,Undergraduate Division,Undergraduate & Interdisciplinary Studies,Federal,"$5,500 ","$9,108 ",nan
NOAA National Oceanic & Atmospheric Administration,Colleges,College of Chemistry,Chemistry Department,Federal,"$353,473 ",$0 ,nan
NOAA National Oceanic & Atmospheric Administration,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,$0 ,nan,nan
NOAA National Oceanic & Atmospheric Administration,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,nan,"$447,761 ","$191,754 "
"NOVA Scientific, Inc.",Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Industry,"$255,676 ","$186,605 ","($30,000)"
NRC Nuclear Regulatory Commission,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,"$300,000 ",$0 ,"$215,000 "
NRC Nuclear Regulatory Commission,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,"$319,452 ",nan,$0 
NRC Nuclear Regulatory Commission,Colleges,College of Engineering,Nuclear Engineering,Federal,nan,"$830,000 ","$400,000 "
NREL National Renewable Energy Lab (Midwest Res Inst),Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,nan,nan,($1)
NREL National Renewable Energy Lab (Midwest Res Inst),Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,$0 ,$0 ,nan
NSF National Science Foundation,Campus Support,Vice Chancellor - Administration,Information Services & Technology,Federal,nan,nan,"$399,446 "
NSF National Science Foundation,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,Federal,$0 ,nan,nan
NSF National Science Foundation,Colleges,CNR College of Natural Resources,Energy & Resources Group,Federal,"$700,971 ",$0 ,"$1,199,914 "
NSF National Science Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,"$2,089,403 ","$85,813 ","$4,079,331 "
NSF National Science Foundation,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Federal,"$49,888 ",nan,nan
NSF National Science Foundation,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,"$4,187,426 ","$1,090,887 ","$3,029,160 "
NSF National Science Foundation,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Federal,"$873,180 ","$443,814 ","$716,839 "
NSF National Science Foundation,Colleges,College of Chemistry,Chemistry Department,Federal,"$3,163,122 ","$5,961,824 ","$4,187,286 "
NSF National Science Foundation,Colleges,College of Engineering,Bioengineering,Federal,nan,nan,"$300,000 "
NSF National Science Foundation,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,"$1,375,240 ","$798,460 ","$3,490,725 "
NSF National Science Foundation,Colleges,College of Engineering,"Dean, Engineering",Federal,nan,$0 ,nan
NSF National Science Foundation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,"$6,927,344 ","$11,449,653 ","$9,876,491 "
NSF National Science Foundation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,"$10,829,680 ","$3,443,564 ","$8,148,612 "
NSF National Science Foundation,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Federal,"$38,990 ","$656,345 ","$1,146,651 "
NSF National Science Foundation,Colleges,College of Engineering,Mechanical Engineering,Federal,"$2,559,864 ","$2,411,317 ","$3,794,974 "
NSF National Science Foundation,Colleges,College of Engineering,MSE Materials Science & Engineering,Federal,nan,"$384,697 ","$539,513 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Federal,"$2,058,212 ","$749,622 ","$572,376 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Federal,"$16,195 ","$716,824 ","$1,425,295 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,"Dean, Physical Sciences",Federal,"$1,351,692 ","$607,446 ","$1,399,036 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,"$2,654,658 ","$1,979,972 ","$1,327,285 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Federal,"$4,646,638 ","$6,564,752 ","$3,406,950 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,"$4,909,713 ","$21,321,848 ","$5,397,497 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,"$257,510 ","$749,999 ","$694,179 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Anthropology,Federal,nan,"$188,789 ",nan
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Ethnic Studies,Federal,"$8,836 ",nan,nan
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Geography,Federal,"$498,362 ","$1,177,677 ","$110,392 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Linguistics,Federal,"$179,235 ","$200,000 ","$13,940 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Political Science,Federal,$0 ,"$17,640 ",$0 
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,"$300,000 ",$0 ,"$20,390 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,Federal,"$12,000 ","$22,811 ","$47,204 "
NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Federal,nan,nan,"$466,631 "
NSF National Science Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,"$1,703,078 ","$3,971,552 ","$1,593,334 "
NSF National Science Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,$0 ,"$300,000 ","$1,458,577 "
NSF National Science Foundation,Other Academic,Graduate Division,Graduate Division Dean,Federal,nan,"$21,203,336 ","$20,211,824 "
NSF National Science Foundation,Other Academic,Strategic Academic and Facilities Planning,BNNI Berkeley Nanoscience & Nanoengineering In..,Federal,"$325,000 ",nan,nan
NSF National Science Foundation,Schools,Graduate School of Education,Null,Federal,"$140,879 ","$2,999,748 ",$0 
NSF National Science Foundation,Schools,Graduate School of Education,School of Education,Federal,"$275,001 ","$2,398,221 ","$1,077,150 "
NSF National Science Foundation,Schools,School of Information,iSchool School of Information,Federal,"$550,000 ",nan,"$551,116 "
NSF National Science Foundation,Schools,School of Law,Boalt Law School,Federal,nan,"$291,954 ","$722,286 "
NSF National Science Foundation,Schools,School of Optometry,Null,Federal,"$635,130 ",nan,nan
NSF National Science Foundation,Schools,School of Optometry,nan,Federal,$0 ,nan,$0 
NSF National Science Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,nan,"$86,544 ","$1,972,763 "
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,ARF Archaeological Research Facility,Federal,"$334,815 ","$28,604 ","$215,555 "
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Federal,$0 ,nan,"$75,906 "
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,Center for Integrative Planetary Science,Federal,$0 ,"$397,043 ",nan
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,"$1,009,571 ","$274,406 ","$1,635,144 "
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IGS Institute of Governmental Studies,Federal,$0 ,nan,$0 
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Federal,"$446,815 ",nan,nan
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IIS Institute of International Studies,Federal,nan,nan,"$334,897 "
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Federal,"$446,815 ",nan,nan
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IIS Institute of International Studies,Federal,nan,nan,"$334,897 "
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Federal,$0 ,nan,nan
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,RAL Radio Astronomy Laboratory,Federal,"$41,825 ","$3,080,578 ","$219,199 "
NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,"$27,169 ","$1,486,436 ","$1,208,249 "
NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Federal,"$140,124 ","$344,476 ","$489,678 "
NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,EBI Energy Biosciences Institute,Federal,nan,nan,"$50,000 "
NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,History of Science & Technology,Federal,"$298,725 ",$0 ,nan
NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,Independent Research Programs,Federal,$0 ,$0 ,$0 
NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,Simons Institute for the Theory of Computing,Federal,"$55,000 ","$115,000 ","$75,000 "
NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,"$11,073,966 ","$4,629,765 ","$5,372,273 "
NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,BNHM Admin Svcs,Federal,$0 ,nan,nan
NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,Essig Museum of Entomology,Federal,"$7,000 ","$26,506 ","$4,799 "
NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,Gump Research Field Station,Federal,"$173,485 ","$24,871 ",$0 
NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Federal,$0 ,"$824,311 ","$1,453,564 "
NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,Research Field Stations and Nature Reserves,Federal,"$4,899,996 ","$94,047 ","$25,000 "
NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,UC Museum of Paleontology,Federal,$0 ,"$81,541 ","$594,386 "
NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,University/Jepson Herbaria,Federal,"$750,476 ","$311,403 ","$239,701 "
NSF National Science Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,CPAM Center for Pure & Applied Mathematics,Federal,$0 ,$0 ,$0 
NSF National Science Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Federal,"$866,284 ",$0 ,$0 
NSF National Science Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBI Institute for Business Innovation,Federal,nan,"$214,998 ","$449,949 "
NSF National Science Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,ICBS Institute for Cognitive and Brain Sciences,Federal,"$531,482 ","$1,090,370 ",$0 
NSF National Science Foundation,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,"$3,326,162 ","$6,165,700 ",$0 
NVIDIA Corporation,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Industry,nan,nan,"$1,000,000 "
Nagoya University,Colleges,College of Chemistry,Chemistry Department,Not for Profit,nan,nan,$0 
"Nanoviricides, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Industry,"$130,057 ","$31,297 ",nan
National Academies,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,$0 ,$0 ,nan
National Academies,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,$0 ,nan,nan
National Academy of Education,Schools,Graduate School of Education,Null,Not for Profit,$0 ,nan,nan
National Academy of Education,Schools,Graduate School of Education,School of Education,Not for Profit,nan,"$55,000 ",nan
National Academy of Sciences,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,nan,"$30,000 ",nan
National Academy of Sciences,Colleges,College of Engineering,Mechanical Engineering,Not for Profit,nan,nan,"$30,000 "
National Academy of Sciences,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,"$75,000 ",nan,nan
National Academy of Sciences,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,"$45,000 "
National Academy of Sciences,Other Academic,Graduate Division,Graduate Division Dean,Not for Profit,nan,nan,"$24,000 "
National Academy of Sciences,Other Academic,Graduate Division,Graduate Division Fellowships,Not for Profit,nan,nan,"$22,000 "
National Archives and Records Administration,Other Academic,UC Library,University Library,Federal,$0 ,nan,nan
"National Bureau of Economic Research, Inc.",L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Not for Profit,nan,nan,"$32,500 "
"National Bureau of Economic Research, Inc.",Schools,Haas School of Business (Division),Haas Centers and Institutes,Not for Profit,nan,"$124,747 ",$0 
"National Bureau of Economic Research, Inc.",Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,$0 ,$0 ,$0 
National Cancer Institute of Canada,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Non Federal Governmental,nan,"$634,389 ",nan
National Commission for Scientific and Technological Research,Vice Chancellor - Research,Academic Research Units,CLAS Center for Latin American Studies,Non Federal Governmental,"$311,755 ","$145,485 ",nan
National Film Preservation Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Linguistics,Not for Profit,nan,"$6,120 ",nan
National Football League Charities,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,"$100,000 ",nan,nan
National Forest Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,Research Field Stations and Nature Reserves,Not for Profit,nan,nan,"$630,000 "
National Geographic Society,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,nan,"$50,000 ",nan
National Geographic Society,Colleges,CNR College of Natural Resources,Energy & Resources Group,Not for Profit,"$100,000 ",nan,nan
National Geographic Society,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$12,600 ","$9,530 ",nan
National Geographic Society,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Not for Profit,$0 ,"$19,921 ","$25,000 "
National Geographic Society,Vice Chancellor - Research,VC Research Museums & Field Stations ,University/Jepson Herbaria,Not for Profit,nan,nan,$0 
National Institute for Materials Science,Colleges,College of Chemistry,Chemistry Department,Not for Profit,"$399,698 ",nan,nan
National Institute of Genetics,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,$0 ,nan
"National Math and Science Initiative, Inc.",Schools,Graduate School of Education,School of Education,Not for Profit,nan,nan,"$400,000 "
National Multiple Sclerosis Society,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,"$350,772 ","$52,995 "
"National Niemann-Pick Disease Foundation, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,"$90,000 "
National Opinion Research Center,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,Industry,nan,$0 ,nan
"National Partnership for Women & Families, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,$0 ,nan,nan
National Physical Science Consortium,Other Academic,Graduate Division,Graduate Division Fellowships,Not for Profit,nan,nan,"$60,000 "
National Polytechnic Institute of Toulouse,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,nan,nan,$0 
National Research Council of Canada,Other Academic,Graduate Division,Graduate Division Dean,Non Federal Governmental,nan,"$24,000 ","$32,000 "
"National School Foundation Association, Inc.",Schools,School of Law,Boalt Law School,Not for Profit,"$20,000 ",nan,nan
National Service for Industrial Training,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,nan,"$25,000 "
"National Tuberous Sclerosis Association, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,"$150,000 "
National Writing Project Corp,Schools,Graduate School of Education,Null,Not for Profit,"$10,000 ","$10,000 ",nan
National Writing Project Corp,Schools,Graduate School of Education,School of Education,Not for Profit,nan,nan,"$4,800 "
Natural Resources Defense Council,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Not for Profit,nan,nan,"$30,000 "
Nature Conservancy,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,$0 ,nan,nan
Nature Conservancy,Colleges,CNR College of Natural Resources,Energy & Resources Group,Not for Profit,nan,nan,"$45,000 "
Nature Conservancy,Schools,School of Law,Boalt Law School,Not for Profit,nan,nan,"$100,000 "
Nature Conservancy,Vice Chancellor - Research,VC Research Museums & Field Stations ,Research Field Stations and Nature Reserves,Not for Profit,nan,"$15,000 ",nan
Netherlands Organization for Scientific Research,Colleges,College of Chemistry,Chemistry Department,Not for Profit,"$341,384 ",nan,$0 
Netherlands Organization for Scientific Research,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,"$150,654 ",nan
Netherlands Organization for Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,"$83,779 ",nan,nan
Netherlands Organization for Scientific Research,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,nan,"$168,268 ","$145,291 "
Netherlands Organization for Scientific Research,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,nan,$0 ,nan
Netherlands Organization for Scientific Research,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,nan,nan,nan
Netherlands Organization for Scientific Research,Vice Chancellor - Research,VC Research Museums & Field Stations ,Essig Museum of Entomology,Not for Profit,"$125,587 ",nan,nan
New Jersey Department of Education,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Non Federal Governmental,nan,nan,"$35,549 "
"New Profit, Inc.",Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Industry,"$179,976 ","$239,968 ","$439,967 "
"New Vision Microelectronics, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,nan,"$250,000 "
New York Stem Cell Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,"$1,500,000 "
New York University,L&S College of Letters & Sciences,Division of Social Sciences,Political Science,Not for Profit,nan,nan,"$169,217 "
"Newomics, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Industry,nan,nan,"$494,601 "
Next 10,Schools,School of Law,Boalt Law School,Not for Profit,nan,"$69,000 ","$158,609 "
Ninyo & Moore Geotechnical and Environmental Sciences Consultants,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,nan,"$120,000 ","$110,166 "
Nokia Mobile Phones Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,"$100,000 ",nan,nan
Nokia Mobile Phones Inc.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,$0 ,$0 ,nan
Nokia USA Inc.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,nan,$0 ,$0 
North Atlantic Treaty Organization,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Non Federal Governmental,"$4,950 ",$0 ,"$25,750 "
North Carolina State University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,nan,"$443,654 "
North Carolina State University,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,$0 ,nan,nan
Northern California Institute for Research and Education,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,"$29,949 ","$1,173,060 ","$64,079 "
Northern California Institute for Research and Education,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,"$88,325 ",nan
Northrop Grumman Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,"$250,000 ",nan,nan
Northwest Area Foundation,Other Academic,Strategic Academic and Facilities Planning,Haas Diversity Research Center (HIFIS Haas Institute),Not for Profit,"$100,000 ",nan,nan
Northwestern University,Colleges,College of Engineering,Bioengineering,Not for Profit,nan,"$142,238 ","$121,295 "
Northwestern University,Schools,Graduate School of Education,Null,Not for Profit,"$112,111 ",$0 ,"$114,897 "
Northwestern University,Schools,School of Optometry,Null,Not for Profit,$0 ,nan,nan
Northwestern University,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,nan,"$100,000 "
Northwestern University,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,nan,"$148,732 ",nan
Norwegian Marine Technology Research Institute,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,"$163,851 ",nan,nan
Novartis Institutes for BioMedical Research,Colleges,College of Engineering,Bioengineering,Industry,"$377,099 ",nan,$0 
Novartis Institutes for BioMedical Research,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,$0 ,nan,nan
ONDRAF/NIRAS,Colleges,College of Engineering,Nuclear Engineering,Non Federal Governmental,nan,"$724,938 ",nan
Oak Foundation,Schools,School of Law,Boalt Law School,Not for Profit,nan,nan,"$450,000 "
Oak Ridge National Laboratory,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Industry,$0 ,nan,nan
Oak Ridge National Laboratory,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,"$20,000 ",nan
Oak Ridge National Laboratory,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,$0 ,nan,nan
Oak Ridge National Laboratory,Colleges,College of Engineering,Mechanical Engineering,Industry,nan,"$819,421 ",nan
Oak Ridge National Laboratory,Colleges,College of Engineering,Nuclear Engineering,Industry,"$61,500 ","$50,000 ","$236,271 "
Oak Ridge National Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Industry,nan,"$101,724 ","$101,854 "
Oak Ridge National Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Industry,$0 ,nan,nan
Oak Ridge National Laboratory,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Industry,"$151,747 ",nan,nan
Oakland Raiders,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Industry,nan,nan,$0 
"ObjectVideo, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,"$692,232 ",$0 ,$0 
Office for the Coordination of Social Policies,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Non Federal Governmental,nan,nan,"$499,810 "
Ohio State University (Incl. Research Foundation),Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$9,048 ","$18,758 ","$7,600 "
Ohio State University (Incl. Research Foundation),Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,"$538,437 ",$0 
Ohio State University (Incl. Research Foundation),Schools,School of Public Health,Null,Not for Profit,$0 ,nan,nan
Ohio University,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,$0 ,nan,nan
Oklahoma State University,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,nan,"$870,000 ",$0 
OncoSec Medical Inc.,Colleges,College of Engineering,Bioengineering,Industry,nan,nan,"$15,650 "
"Onyx Pharmaceuticals, Inc.",Schools,Haas School of Business (Division),Haas Centers and Institutes,Industry,nan,"$126,000 ",nan
Open Society Foundations,Other Academic,Strategic Academic and Facilities Planning,Haas Diversity Research Center (HIFIS Haas Institute),Not for Profit,nan,nan,"$25,000 "
Open Society Foundations,Schools,School of Law,Boalt Law School,Not for Profit,nan,"$305,000 ","$100,000 "
Open Society Institute,Schools,School of Law,Null,Not for Profit,"$115,000 ",nan,nan
Open Society Institute,Schools,School of Law,Boalt Law School,Not for Profit,$0 ,"$185,000 ",$0 
Open Society Institute,Vice Chancellor - Research,Academic Research Units,CLAS Center for Latin American Studies,Not for Profit,"$25,000 ",nan,nan
Oregon Department of Transportation,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Non Federal Governmental,nan,"$435,000 ",nan
Oregon Health Sciences University,Colleges,College of Chemistry,Chemistry Department,Not for Profit,"$62,886 ",nan,nan
Oregon Health Sciences University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$60,395 ","$57,896 ",$0 
Oregon Health Sciences University,Schools,School of Public Health,Null,Not for Profit,$0 ,nan,nan
Oregon Health Sciences University,Vice Chancellor - Research,Vice Chancellor for Research ORUs,Functional Genomics Laboratory,Not for Profit,"($100,000)",nan,nan
Oregon State University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,$0 ,$0 ,"$98,055 "
Oregon State University,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,"$199,599 ",$0 ,$0 
Oregon State University,Colleges,College of Chemistry,Chemistry Department,Not for Profit,nan,$0 ,nan
Oregon State University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$111,000 ","$111,000 ","$244,774 "
Oregon Sweet Cherry Commission,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,nan,"$4,900 ","$26,118 "
"Oregon, State of",Colleges,CNR College of Natural Resources,Null,Non Federal Governmental,"$10,000 ",nan,nan
"Oregon, State of",Schools,Graduate School of Education,School of Education,Non Federal Governmental,nan,"$149,000 ","$29,993 "
Oro Loma Sanitary District,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,nan,"$240,000 ","($60,000)"
Osaka University,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,nan,nan
"Ostendo Technologies, Inc.",Schools,School of Optometry,Null,Industry,"$97,775 ",nan,nan
"Ostendo Technologies, Inc.",Schools,School of Optometry,nan,Industry,"($511,456)",nan,nan
Overture Financial LLC,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Industry,nan,nan,"$83,496 "
Oxford Policy Management,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Industry,nan,nan,"$221,552 "
