Sponsor,Control Unit,Division,Department,Total,Non_Stem
"Leidos, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,397775,False
Novartis Institutes for BioMedical Research,Colleges,College of Engineering,Bioengineering,377099,False
"Scientific Simulation Systems, Inc.",Colleges,College of Engineering,MSE Materials Science & Engineering,374147,False
"Honda (Honda R&D Americas, Inc.)",Colleges,College of Chemistry,Chemistry Department,360000,False
"Sekisui Chemical Co., Ltd.",L&S College of Letters & Sciences,Division of Physical Sciences,Physics,357000,False
"Ericsson, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,350000,False
"Anacor Pharmaceuticals, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),342139,False
All Power Labs,Colleges,CNR College of Natural Resources,Energy & Resources Group,323695,False
"Alcoa, Inc.",Colleges,College of Engineering,Mechanical Engineering,303244,False
LG Chem,Colleges,College of Chemistry,Chemistry Department,300002,False
PEPperPRINT,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,292672,False
GlaxoSmithKline (Incl Smith Kline Beecham),Colleges,College of Chemistry,Chemistry Department,285000,False
Booz Allen Hamilton Inc.,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,284615,False
Areva Group,Colleges,CNR College of Natural Resources,Energy & Resources Group,282963,False
Western Digital Corporation,Colleges,College of Engineering,Mechanical Engineering,279556,False
L'Oreal,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),274000,False
Eli Lilly and Company,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),263999,False
Siemens AG,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),263086,False
"Q-Chem, Inc.",Colleges,College of Chemistry,Chemistry Department,256692,False
Think Now Inc.,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,251988,False
Toshiba Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
Taiwan Semiconductor Manufacturing Company. Ltd,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
Sony Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
Shanghai Industrial Technology Research Institute (SITRI),Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
"Sensormatic Electronics, LLC",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
"Sensata Technologies, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
Robert Bosch North America,Colleges,College of Engineering,ERSO Engineering Research Support Organization,250000,False
"Redpine Signals, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
Northrop Grumman Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,250000,False
"New Vision Microelectronics, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
FCA US LLC,Colleges,College of Engineering,ERSO Engineering Research Support Organization,250000,False
Eli Lilly and Company,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
Continental Automotive Systems,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
"Chirp Microsystems, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
Chevron Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,250000,False
"Azbil North America Research and Development, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
"Analog Devices, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,250000,False
3M Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,250000,False
Merck KGaA,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,240000,False
"Hitachi, Ltd (incl Hitachi America, Ltd)",Colleges,College of Engineering,Nuclear Engineering,240000,False
Ninyo & Moore Geotechnical and Environmental Sciences Consultants,Colleges,College of Engineering,Civil & Environmental Engineering,230166,False
"Hound Labs, Inc.",Colleges,College of Chemistry,Chemistry Department,228231,False
"Leidos, Inc.",Colleges,College of Engineering,Civil & Environmental Engineering,226837,False
"Honeywell, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Physics,223633,False
Oxford Policy Management,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,221552,False
Samsung Group,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,220000,False
SNL Sandia National Laboratory,Colleges,College of Engineering,Mechanical Engineering,220000,False
Mosaic Materials,Colleges,College of Chemistry,Chemistry Department,220000,False
"Charles Stark Draper Laboratory, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,220000,False
"Array Information Technology, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,213855,False
"Los Alamos National Security, LLC",Colleges,College of Engineering,Nuclear Engineering,209982,False
The Boeing Company,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,207393,False
"UChicago Argonne, LLC",Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,205752,False
"Los Alamos National Security, LLC",Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,201982,False
Silver Lake Research Corporation,Schools,School of Public Health,Null,200000,False
"Samsung Electronics Company, Ltd.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),200000,False
"Samsung Electronics Company, Ltd.",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,200000,False
Raytheon,Colleges,College of Engineering,ERSO Engineering Research Support Organization,200000,False
"Marvell Semiconductor, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,200000,False
"Google, Inc.",Schools,School of Information,iSchool School of Information,200000,False
"FormFactor, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,200000,False
Cambridge Display Technology Limted,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,190000,False
"PTC Therapeutics, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",187572,False
"Honda (Honda R&D Americas, Inc.)",Colleges,College of Engineering,Mechanical Engineering,187137,False
Chevron Corporation,Colleges,College of Engineering,MSE Materials Science & Engineering,186000,False
UTC United Technologies Corp (Incl. UTCR United Tech Res Ctr),Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,180000,False
Duke Energy Business Services LLC,Colleges,College of Engineering,Civil & Environmental Engineering,180000,False
Ishikawajima-Harima Heavy Industries Co Ltd Japan,Colleges,College of Chemistry,Chemistry Department,177000,False
"View, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,175000,False
Viega LLC,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,175000,False
Saint-Gobain,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,175000,False
SERA Architects,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,175000,False
REHAU Construction LLC,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,175000,False
"Inovant, LLC",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,175000,False
IHI Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,175000,False
"Google, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,175000,False
"Hyundai Business Group (Maxtor, Symbios, Motors)",Colleges,College of Engineering,Civil & Environmental Engineering,174000,False
SNL Sandia National Laboratory,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,170477,False
Seacay Corporation,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,170000,False
"Delta Electronics, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,170000,False
Lyondell Chemical Company,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,169898,False
"Cooper Companies, Inc (incl CooperVision, CooperSurgical)",Schools,School of Optometry,Null,166956,False
Continental Automotive Systems,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,164000,False
Norwegian Marine Technology Research Institute,Colleges,College of Engineering,Civil & Environmental Engineering,163851,False
"Nanoviricides, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",161354,False
ConocoPhillips Company (Merger of Conoco & Phillips Petroleum),Colleges,College of Engineering,ERSO Engineering Research Support Organization,160000,False
Agilent Technologies,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),160000,False
Bay Area Research Corporation,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,151791,False
"Cambridge Systematics, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,150058,False
Wellspring Advisors LLC,Vice Chancellor - Research,Academic Research Units,IIS Institute of International Studies,150000,True
Sandex Corporation,Colleges,College of Engineering,Mechanical Engineering,150000,False
"Samsung Electronics Company, Ltd.",Colleges,College of Chemistry,Chemistry Department,150000,False
Leaf Technologies,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),150000,False
"Hypres, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Physics,150000,False
"Honeywell, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,150000,False
Dow Agrosciences LLC,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),150000,False
Denso Corporation,Colleges,College of Engineering,Civil & Environmental Engineering,150000,False
"Samsung Electronics Company, Ltd.",Colleges,College of Engineering,MSE Materials Science & Engineering,149999,False
Siam Cement Company,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,149541,False
Denso Corporation,Colleges,College of Engineering,Mechanical Engineering,148776,False
Rhodium Group,Schools,Goldman School of Public Policy,Null,143908,False
Siam Cement Company,Colleges,College of Engineering,Civil & Environmental Engineering,140307,False
"Beta Squared, Inc (incl Photronics, Inc)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,140000,False
Microsoft Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,138665,False
BURL Concepts Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,135000,False
"Teledyne Technologies Inc (RD Instruments, Microwave, etc)",Colleges,College of Engineering,MSE Materials Science & Engineering,130000,False
"Lockheed (Lockheed-Sanders, Lockheed-Martin)",Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,129977,False
American Institute for Research,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,127000,False
"Onyx Pharmaceuticals, Inc.",Schools,Haas School of Business (Division),Haas Centers and Institutes,126000,True
"Zymergen, Inc.",Colleges,College of Engineering,Bioengineering,125600,False
Malin Space Sciences Systems,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,125000,False
"Honda (Honda R&D Americas, Inc.)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,122000,False
"Incom, Inc.",Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,119998,False
"Microbiotix, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,117818,False
"BioInspira, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),112335,False
SNL Sandia National Laboratory,Colleges,College of Engineering,Nuclear Engineering,110000,False
"Carl Zeiss Meditec, Inc.",Schools,School of Optometry,Null,109000,False
SNL Sandia National Laboratory,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,105000,False
Ingersoll-Rand Company Limited,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,105000,False
Exxon Mobil Corporation,Colleges,College of Chemistry,Plant & Microbial Biology Department,104222,False
"Car2go N.A., LLC",Colleges,College of Engineering,Civil & Environmental Engineering,102000,False
"Anderson Remplex, Inc.",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,100908,False
"University Research Co., LLC",Schools,School of Public Health,"Dean's Office, Public Health",100193,False
"Teledyne Technologies Inc (RD Instruments, Microwave, etc)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,100000,False
Siemens Corporation,Schools,School of Information,iSchool School of Information,100000,False
Samsung Group,Colleges,College of Engineering,Civil & Environmental Engineering,100000,False
Nokia Mobile Phones Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,100000,False
Allergan Pharmaceutical,Schools,School of Optometry,Null,100000,False
"Aeon Imaging, LLC",Schools,School of Optometry,Optometry Department,100000,False
"BioTime, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,99000,False
"Ostendo Technologies, Inc.",Schools,School of Optometry,Null,97775,False
HRL Laboratories LLC,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,94107,True
"Social Impact, Inc.",Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,92081,False
SkySight Technologies LLC,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,90000,False
Givaudan SA (incl Flavors & Fragrances),Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),89583,False
Smart Sparrow LLC,Schools,Graduate School of Education,School of Education,88800,True
"Delos Living, LLC",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,87500,False
"Lockheed (Lockheed-Sanders, Lockheed-Martin)",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),85000,False
Life Technologies (Incl Invitrogen & Applied Biosystems),Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),85000,False
"Hyundai Business Group (Maxtor, Symbios, Motors)",Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,85000,False
DSM Food Specialties,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),85000,False
Overture Financial LLC,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,83496,True
Device Farm,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,79715,False
"Ennaid Therapeutics, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",79523,False
"Applied Materials, Inc.",Colleges,College of Engineering,Mechanical Engineering,78731,False
Steward Research and Specialty Projects Corporation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,CPAM Center for Pure & Applied Mathematics,76635,False
Biolitec AG,Schools,School of Public Health,"Dean's Office, Public Health",74000,False
"Abt Associates, Inc.",Colleges,CNR College of Natural Resources,Null,73942,False
Fanuc Ltd,Colleges,College of Engineering,Mechanical Engineering,72135,False
Yost Grube Hall Architecture,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,72000,False
"Benson Hill Biosystems, Inc.",Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,72000,False
Wellspring Advisors LLC,Schools,School of Law,Boalt Law School,70000,True
Translume Inc.,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,70000,False
Southern California Edison Company,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,70000,False
Pacific Gas and Electric Company,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,70000,False
"Los Alamos National Security, LLC",Colleges,College of Engineering,Mechanical Engineering,70000,False
"Hyundai Business Group (Maxtor, Symbios, Motors)",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,70000,False
"HJ Science & Technology, Inc.",Colleges,College of Chemistry,Chemistry Department,70000,False
BASF Corporation,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,70000,False
"Photoswitch Biosciences, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,69998,False
"Gilead Sciences, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",69864,False
"Los Gatos Research, Inc.",Colleges,CNR College of Natural Resources,CNR Office of the Dean,67453,False
LanzaTech,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),66000,False
Food Service Technology Center,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,65000,False
Eli Lilly and Company,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,65000,False
"Cairn Biosciences, Inc.",Colleges,College of Chemistry,Chemistry Department,63701,False
Grifols,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,62600,False
Amyris Biotechnologies,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,60862,False
Infosys Limited,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,60693,False
Wellintel,L&S College of Letters & Sciences,Division of Social Sciences,Geography,60500,True
"Stantec Consulting Ltd (incl Engineering,Architecture)",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,60000,False
"LPA, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,60000,False
"BioMarin Pharmaceuticals, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,60000,False
Bayer AG,Colleges,College of Engineering,ERSO Engineering Research Support Organization,60000,False
Southern California Edison Company,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,57000,False
"Samsung Semiconductor, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,50000,False
Life Technologies (Incl Invitrogen & Applied Biosystems),L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,50000,False
"Honeywell, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,50000,False
Fidelity Investments,Schools,Goldman School of Public Policy,Center for Studies in Higher Education,50000,True
DURA Automotive Systems,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,50000,False
Alstom,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,50000,False
"Fuji Electric Co, Ltd",Colleges,College of Engineering,Mechanical Engineering,49662,False
Booz Allen Hamilton Inc.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,48795,False
"Laser Prismatics, LLC",Colleges,College of Engineering,MSE Materials Science & Engineering,48000,False
"Membrane Technology and Research, Inc.",Colleges,College of Chemistry,Chemistry Department,45000,False
Automotive Research and Testing Center,Colleges,College of Engineering,Civil & Environmental Engineering,45000,False
Cameco Resources,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,44690,False
Foundation Banque De France,L&S College of Letters & Sciences,Division of Social Sciences,Economics,41108,True
Vollmar Natural Lands Consulting,Vice Chancellor - Research,VC Research Museums & Field Stations ,Botanical Garden,41000,False
Teichert Aggregates,Colleges,College of Engineering,ERSO Engineering Research Support Organization,40500,False
Eli Lilly and Company,Colleges,College of Chemistry,Chemistry Department,40000,False
"Cooper Companies, Inc (incl CooperVision, CooperSurgical)",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,38000,False
Pacific Gas and Electric Company,Schools,Haas School of Business (Division),Haas Centers and Institutes,37609,True
"Southwest Sciences, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Physics,35500,False
Eyenuk LLC,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),35000,False
Delta T Corporation,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,35000,False
"Synthetic Genomics, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),34000,False
WRNS Studio,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,32424,False
"RadiaBeam Technologies, LLC",Colleges,College of Engineering,Nuclear Engineering,30000,False
"Lynntech, Inc.",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,29152,False
Sigma Space Corporation,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,28938,False
Bayer AG,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,28223,False
"General Electric Company (incl GE Healthcare, GE Light Inst)",Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,28016,False
Essilor USA,Schools,School of Optometry,Null,25956,False
Robert Bosch North America,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,24000,False
Evolva Inc.,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),24000,False
"Microbial Medical, Inc.",Colleges,College of Engineering,Bioengineering,22500,False
"4D Molecular Therapeutics, LLC",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),22408,False
