,Sponsor,Control Unit,Division,Department,class_clean,2014,2015,2016
670,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,90577,156918,158768
671,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,0,60000
672,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,117399,0,0
673,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,Mechanical Engineering,Federal,124225,-11806,62719
674,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,Nuclear Engineering,Federal,128343,204917,369406
675,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Federal,0,0,50108
676,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,0,368784,0
677,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Schools,Goldman School of Public Policy,GSPP Programs & Research,Federal,0,0,54491
678,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,0,139339,0
679,DOD Advanced Research Projects Agency,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,3917881,6599316,6955226
680,DOD Advanced Research Projects Agency,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,4923576,1016053,5128616
681,DOD Advanced Research Projects Agency,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Federal,0,0,999751
682,DOD Advanced Research Projects Agency,Colleges,College of Engineering,Mechanical Engineering,Federal,0,0,483057
683,DOD Advanced Research Projects Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Federal,0,0,0
684,DOD Advanced Research Projects Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,353900,0
685,DOD Advanced Research Projects Agency,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,0,0,540240
686,DOD Advanced Research Projects Agency,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,135227,0,0
687,DOD Defense Threat Reduction Agency,Colleges,College of Chemistry,Chemistry Department,Federal,200000,750120,149880
688,DOD Defense Threat Reduction Agency,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,212201,0
689,DOD Defense Threat Reduction Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,445553,0
690,DOD National Geospatial Intelligence Agency,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,0,299191
691,DOD National Geospatial Intelligence Agency,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,-878,0
692,DOD National Geospatial Intelligence Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,300000,0
693,DOD National Geospatial Intelligence Agency,Schools,School of Optometry,Null,Federal,0,149944,0
694,DOD National Security Agency,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,0,100000
695,DOD National Security Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Federal,199246,0,0
696,DOD National Security Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,200000,800000,0
697,DOD National Security Agency,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Federal,0,70000,0
698,DOD National Security Agency,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Federal,89997,90000,180000
699,DOD National Security Agency,Vice Chancellor - Research,VC Res Other Research Units,Simons Institute for the Theory of Computing,Federal,0,0,100000
700,DOD Naval Facilities Engineering Command,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Federal,0,10678,0
701,DOD Naval Ordnance Laboratory,L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,Federal,0,0,0
702,DOD Naval Post Graduate School,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,75000,0,0
703,DOD Naval Post Graduate School,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,0,-42572,0
704,DOD Naval Research Laboratory,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,326156,342932,0
705,DOD Naval Research Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,0,510000
706,DOD Navy Ship Research and Development Center,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,250000,0
707,DOD ONR Office of Naval Research,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,0,0,0
708,DOD ONR Office of Naval Research,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Federal,0,-337000,0
709,DOD ONR Office of Naval Research,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,1109983,904032,978203
710,DOD ONR Office of Naval Research,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,734564,0,3000000
711,DOD ONR Office of Naval Research,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Federal,0,0,482595
712,DOD ONR Office of Naval Research,Colleges,College of Engineering,MSE Materials Science & Engineering,Federal,0,0,370000
713,DOD ONR Office of Naval Research,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,617037,420062,1289000
714,DOD ONR Office of Naval Research,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,0,0,400000
715,DOD ONR Office of Naval Research,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Federal,0,0,696568
716,DOD ONR Office of Naval Research,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,0,185080,555242
717,DOD ONR Office of Naval Research,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,-253,0,0
718,DOD ONR Office of Naval Research,Vice Chancellor - Research,VC Research Museums & Field Stations ,University/Jepson Herbaria,Federal,0,10497,0
719,DOD Separate Agencies Miscellaneous,Schools,School of Optometry,Null,Federal,0,999724,0
720,DOD Space and Naval Warfare Systems Command,Colleges,College of Chemistry,Chemistry Department,Federal,0,0,0
721,DOD Space and Naval Warfare Systems Command,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,348973,3211703
722,DOD Space and Naval Warfare Systems Command,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,-2792431,0
723,DOD Space and Naval Warfare Systems Command,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,0,0
724,DOE Department of Energy,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Federal,0,-31358,0
725,DOE Department of Energy,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,2730236,882078,9958330
726,DOE Department of Energy,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,88993,4614,6574484
727,DOE Department of Energy,Colleges,College of Chemistry,Plant & Microbial Biology Department,Federal,0,-1109,0
728,DOE Department of Energy,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Federal,150000,706000,0
729,DOE Department of Energy,Colleges,College of Chemistry,Chemistry Department,Federal,2598687,8249713,0
730,DOE Department of Energy,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,0,0,12500001
731,DOE Department of Energy,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,750000,0
732,DOE Department of Energy,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Federal,0,800000,0
733,DOE Department of Energy,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,1000000,-26798,489073
734,DOE Department of Energy,Colleges,College of Engineering,Mechanical Engineering,Federal,294038,0,0
735,DOE Department of Energy,Colleges,College of Engineering,Nuclear Engineering,Federal,1642282,1325393,1119695
736,DOE Department of Energy,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,2066986,1546560,1864164
737,DOE Department of Energy,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,1557875,923000,2754944
738,DOE Department of Energy,L&S College of Letters & Sciences,Division of Social Sciences,Geography,Federal,0,0,-428
739,DOE Department of Energy,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,0,39000
740,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Federal,131900,4118066,0
741,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,Federal,1305146,-938875,182832
742,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,Energy and Climate Institute,Federal,0,0,225000
743,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Federal,0,-511003,0
744,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,-12000,85214,0
745,DOE Department of Energy,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,-3564,0
746,DOE Department of Energy,Vice Chancellor - Research,VC Research,VCR Immediate Office,Federal,0,0,0
747,DOE Department of Energy,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,0,-3,0
748,DOED US Department of Education,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,906,7611,0
749,DOED US Department of Education,EVCP Executive Vice Chancellor & Provost,Division of Undergraduate Education,Academic Achievement Division,Federal,-74514,0,2377005
750,DOED US Department of Education,EVCP Executive Vice Chancellor & Provost,Division of Undergraduate Education,DSP Disabled Students' Program,Federal,-33971,0,1460690
751,DOED US Department of Education,L&S College of Letters & Sciences,Division of Arts & Humanities,SSEAS South & Southeast Asian Studies,Federal,906,7611,0
752,DOED US Department of Education,Other Academic,Graduate Division,Null,Federal,195673,8059702,135000
753,DOED US Department of Education,Other Academic,Graduate Division,Graduate Division Dean,Federal,158109,0,0
754,DOED US Department of Education,Other Academic,Graduate Division,Graduate Division Fellowships,Federal,0,285670,168879
755,DOED US Department of Education,Schools,Graduate School of Education,Null,Federal,0,0,0
756,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,Center for African Studies,Federal,-260377,0,0
757,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,Center for Middle Eastern Studies,Federal,-125437,1080000,0
758,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,CLAS Center for Latin American Studies,Federal,-125035,0,0
759,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,CSAS Center for South Asian Studies,Federal,-143717,966360,0
760,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,CSEAS Center for Southeast Asian Studies,Federal,-138294,960040,0
761,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Federal,-41485,880000,83449
762,DOED US Department of Education,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,1499873,0,0
763,DOED US Department of Education,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Federal,-18226,35916,0
764,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,Institute of European Studies,Federal,-102606,928000,0
765,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,"Institute of Slavic, East European, and Eurasian Stu..",Federal,-131184,880000,0
766,DOL Bureau of Labor Statistics,L&S College of Letters & Sciences,Division of Social Sciences,Economics,Federal,0,0,0
767,DOL Bureau of Labor Statistics,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,Federal,0,0,0
768,DOL Occupational Safety and Health Administration,Schools,School of Public Health,"Dean's Office, Public Health",Federal,181330,0,0
769,DOL Occupational Safety and Health Administration,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,0,165000
770,DOT Federal Highway Administration,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,1002724,-1550,5000
771,DOT Federal Highway Administration,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,0,0
772,DOT Federal Highway Administration,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Federal,0,0,-3450
773,DOT Federal Highway Administration,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Federal,51900,16500,26500
774,DOT Research and Innovation Technology Administration,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Federal,0,0,0
775,DOT Research and Innovation Technology Administration,Vice Chancellor - Research,VC Res Other Research Units,UC Transportation Center,Federal,5163200,1693400,861000
776,DOT Research and Special Programs Administration,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Federal,5000,0,0
777,DSM Food Specialties,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,75000,5000,5000
778,DURA Automotive Systems,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,50000
779,Daesan Foundation,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Not for Profit,0,0,0
780,"Daiichi Pharmaceutical Co, Ltd",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
781,Damon Runyon Cancer Research Foundation,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,0,209000,52000
782,Damon Runyon Cancer Research Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,84167,704000,508000
783,Damon Runyon Cancer Research Foundation,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,156000,520000,214000
784,Dana Foundation,Colleges,College of Engineering,Bioengineering,Not for Profit,0,0,200000
785,Dana-Farber Cancer Institute,Colleges,College of Chemistry,Chemistry Department,Not for Profit,0,0,0
786,Dana-Farber Cancer Institute,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,0,140709
787,Dana-Farber Cancer Institute,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Not for Profit,0,95648,54471
788,Dana-Farber Cancer Institute,Schools,School of Public Health,Null,Not for Profit,0,0,0
789,"Danisco USA, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,5000,0
790,Dartmouth College,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
791,Dartmouth College,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,0
792,Dartmouth College,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,52500,-7026,1744292
793,Dartmouth College,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,0,232096,71122
794,David and Lucile Packard Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,35000
795,David and Lucile Packard Foundation,Colleges,College of Chemistry,Chemistry Department,Not for Profit,800000,75000,0
796,David and Lucile Packard Foundation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,875000,0
797,David and Lucile Packard Foundation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,0,0,0
798,David and Lucile Packard Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Not for Profit,0,0,0
799,David and Lucile Packard Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Not for Profit,693337,0,0
800,David and Lucile Packard Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,0,0,0
801,David and Lucile Packard Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,0,0,875000
802,David and Lucile Packard Foundation,Schools,Haas School of Business (Division),Haas Centers and Institutes,Not for Profit,0,118000,323000
803,David and Lucile Packard Foundation,Schools,Haas School of Business (Division),Haas School of Business (Department),Not for Profit,196600,178000,0
804,David and Lucile Packard Foundation,Schools,School of Public Health,Null,Not for Profit,0,0,0
805,David and Lucile Packard Foundation,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,0
806,David and Lucile Packard Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,895000,250000
807,David and Lucile Packard Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,400000,200000,0
808,David and Lucile Packard Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations ,University/Jepson Herbaria,Not for Profit,500000,0,0
809,Deactivated - Do Not USE,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,0,0,0
810,Degenkolb Engineers,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,10000,0,0
811,Deinove,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,7500,0,0
812,Del Consorcio de Investigacion sobre VIH/Sida y Tuberculosis,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,53528,9008,0
813,"Delos Living, LLC",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,0,87500,0
814,"Delta Electronics, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,0,0,170000
815,Delta T Corporation,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,35000,0,0
816,Denso Corporation,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,0,0,150000
817,Denso Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,750000,0
818,Denso Corporation,Colleges,College of Engineering,Mechanical Engineering,Industry,0,73368,75408
819,Denver Foundation,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,20000,0,0
820,Department for International Development,Vice Chancellor - Research,Academic Research Units,IGS Institute of Governmental Studies,Non Federal Governmental,0,0,7158823
821,Department for International Development,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Non Federal Governmental,48000,0,0
822,Department of Homeland Security,Colleges,College of Chemistry,Chemistry Department,Federal,0,0,0
823,Department of Homeland Security,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,0,494668
824,Department of Homeland Security,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,0,0
825,Department of Homeland Security,Colleges,College of Engineering,Nuclear Engineering,Federal,765379,777904,396292
826,Department of Homeland Security,Vice Chancellor - Research,Academic Research Units,Institute for the Study of Societal Issues,Federal,317220,0,0
827,"Department of Housing, County of San Mateo",Vice Chancellor - Research,Academic Research Units,IGS Institute of Governmental Studies,Non Federal Governmental,0,0,66620
828,Deutsche Forschungsgemeinschaft (German Research Foundation),Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,174910,0,0
829,Device Farm,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,50000,29715,0
830,Digital Trust Foundation,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,0,50000,0
831,Doheny Eye Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,100000,0
832,Doheny Eye Institute,Schools,School of Optometry,Null,Not for Profit,0,100000,0
833,Dolores Zohrab Liebmann Fund,Other Academic,Graduate Division,Graduate Division Dean,Not for Profit,70685,97555,58440
834,Doris Duke Charitable Foundation,Schools,School of Public Health,Null,Not for Profit,0,0,0
835,"Dovetail Learning, Inc.",Schools,School of Social Welfare,Dept of Social Welfare,Not for Profit,0,0,160086
836,Dow Agrosciences LLC,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,150000,0
837,Dow Chemical Company,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,0,200000,220009
838,Dow Chemical Company,Colleges,College of Chemistry,Chemistry Department,Industry,0,1724999,0
839,Dow Chemical Company,Colleges,College of Engineering,MSE Materials Science & Engineering,Industry,0,570116,0
840,Dow Corning Company,Colleges,College of Chemistry,Chemistry Department,Industry,0,0,0
841,Drexel University,Colleges,College of Engineering,MSE Materials Science & Engineering,Not for Profit,0,85000,0
842,Duke Energy Business Services LLC,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,0,0,180000
843,Duke University,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,0,0,102784
844,Duke University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,765750,121375,-12809
845,Duke University,L&S College of Letters & Sciences,Division of Arts & Humanities,Art History,Not for Profit,34747,0,0
846,Duke University,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,22004,0,0
847,ECOFYS International,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,0,0,0
848,EPA Environmental Protection Agency,Colleges,CNR College of Natural Resources,Energy & Resources Group,Federal,34000,34000,0
849,EPA Environmental Protection Agency,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,173000,37000,51000
850,EPA Environmental Protection Agency,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,34000,0,0
851,EPA Environmental Protection Agency,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,0,34000,0
852,EPA Environmental Protection Agency,Schools,Goldman School of Public Policy,GSPP Programs & Research,Federal,0,0,51000
853,EPA Environmental Protection Agency,Schools,School of Public Health,"Dean's Office, Public Health",Federal,6278307,0,0
854,EPA Environmental Protection Agency,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,115406,2599999
855,EPRI Electric Power Research Institute,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,110000,60646,0
856,EPRI Electric Power Research Institute,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,0,0,171672
857,EPRI Electric Power Research Institute,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Not for Profit,0,214759,128581
858,EPRI Electric Power Research Institute,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,0,0,0
859,EPRI Electric Power Research Institute,Colleges,College of Engineering,MSE Materials Science & Engineering,Not for Profit,78500,0,0
860,EPRI Electric Power Research Institute,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,470000,110000,0
861,EPRI Electric Power Research Institute,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,Not for Profit,0,0,42000
862,East Bay Community Foundation,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,100000,0,0
863,East Bay Community Foundation,Schools,School of Journalism,Null,Not for Profit,48000,0,0
864,East Bay Community Foundation,Schools,School of Optometry,Null,Not for Profit,27822,28274,29112
865,East Bay Community Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,75000,0
866,East Bay Community Foundation,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Not for Profit,0,0,75000
867,"East Bay Consortium of Educational Institutions, Inc.",Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Not for Profit,585858,596736,704385
868,East Bay Regional Park District,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,54750,4750,91500
869,Ecoagriculture International (Incl Ecoagriculture Partners),Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,Industry,0,0,0
870,Economic & Social Research Council,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Non Federal Governmental,0,0,449560
871,Eden Social Welfare Foundation,Schools,School of Social Welfare,Dept of Social Welfare,Not for Profit,0,0,20406
872,"Education Development Center, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,211755,222900
873,Educational Testing Service,Schools,Graduate School of Education,Null,Not for Profit,-89939,0,0
874,"Edward Mallinckrodt, Jr. Foundation",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,60000,60000
875,Electronics and Telecommunications Research Institute,Colleges,College of Engineering,Bioengineering,Not for Profit,94073,0,0
876,Electronics and Telecommunications Research Institute,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,0,0
877,Eli Lilly and Company,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Industry,19343,0,0
878,Eli Lilly and Company,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,0,65000,0
879,Eli Lilly and Company,Colleges,College of Chemistry,Chemistry Department,Industry,0,0,40000
880,Eli Lilly and Company,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,250000
881,Eli Lilly and Company,Schools,School of Public Health,Null,Industry,0,0,0
882,Eli Lilly and Company,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,0,263999
883,Ellison Medical Foundation,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,0,0,0
884,Ellison Medical Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,400000,0,0
885,Emory University,Colleges,College of Chemistry,Chemistry Department,Not for Profit,100000,100000,100021
886,Emory University,Colleges,College of Engineering,Bioengineering,Not for Profit,0,0,191962
887,Emory University,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,0,84403
888,Emory University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,72144,0,0
889,Emory University,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Not for Profit,0,47399,35000
890,Emory University,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,0
891,Endicott College,Vice Chancellor for Equity & Inclusion,Null,Null,Not for Profit,0,6750,0
892,Energy Foundation,Schools,School of Law,Boalt Law School,Not for Profit,0,40000,0
893,Energy Foundation,Vice Chancellor - Research,Academic Research Units,Energy and Climate Institute,Not for Profit,0,0,97641
894,Energy Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,0,300000,0
895,"Ennaid Therapeutics, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Industry,79523,0,0
896,Environmental Defense Fund,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,0
897,Environmental Defense Fund,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,0,0,50000
898,Environmental Defense Fund,Colleges,College of Engineering,IESE Institute for Environmental Science & Engineering,Not for Profit,0,0,76256
899,"EquityNet, LLC.",Colleges,College of Engineering,"Dean, Engineering",Industry,0,0,0
900,Erasmus Universiteit Rotterdam,Schools,School of Law,Boalt Law School,Not for Profit,0,12700,0
901,"Ericsson, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,175000,175000,0
902,"Erik E. and Edith H. Bergstrom Foundation, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,0,150000
903,Ernest Gallo Clinic & Research Center,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Not for Profit,0,0,0
904,Essilor USA,Schools,School of Optometry,Null,Industry,0,25956,0
905,European Bioinformatics Institute/European Molecular Bio Lab,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,0
906,European Molecular Biology Organization,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,0,0
