Sponsor Class,Sponsor Category,Sponsor Type,Sponsor Code,Sponsor,Sponsor Acronym
Federal,DHHS,DHHS-NIH,3403,NIH Fogarty International Center,FIC
Federal,DHHS,DHHS-NIH,3402,NIH Clinical Center,
Federal,DHHS,DHHS-NIH,3401,NIH National Institutes of Health - Miscellaneous,NIH
Federal,DHHS,DHHS-CDC,3158,DHHS CDC Centers for Disease Control,CDC
Federal,DHHS,DHHS-SAMHSA,3160,SAMHSA Center for Substance Abuse Prevention,CSAP
Federal,DHHS,DHHS-SAMHSA,3161,SAMHSA Center for Substance Abuse Treatment,CSAT
Federal,DHHS,DHHS-SAMHSA,3162,SAMHSA Center for Mental Health Services,CMHS
Federal,DHHS,DHHS Other,3001,DHHS Office of the Secretary,
Federal,DHHS,DHHS Other,3720,"DHHS Office of Policy, Planning, and Legislation",
Federal,DHHS,DHHS Other,3740,DHHS ACF Administration for Children and Families,ACF
Federal,DHHS,DHHS Other,3856,DHHS Miscellaneous Other,
Federal,DHHS,DHHS Other,3865,DHHS Administration for Native Americans,ANA
Federal,DHHS,DHHS Other,3855,DHHS Administration for Public Services,
Federal,DHHS,DHHS Other,3600,DHHS FDA Food and Drug Administration,FDA
Federal,DHHS,DHHS Other,3103,DHHS Office of Population Affairs,OPA
Federal,DHHS,DHHS Other,3101,DHHS Health Resources & Services Administration,HRSA
Federal,DHHS,DHHS Other,3100,DHHS Agency for Healthcare Research and Quality,AHRQ
Federal,DHHS,DHHS Other,3061,DHHS Assistant Secretary for Health,DHHS
Federal,DHHS,DHHS Other,3730,DHHS Administration on Aging,AoA
Federal,DHHS,DHHS Other,3800,DHHS Social Security Administration,
Federal,DHHS,DHHS Other,3501,DHHS Centers for Medicare and Medicaid Services,CMS
Federal,DHHS,DHHS Other,3003,DHHS Office Asst Sec for Planning & Evaluation,ASPE
Federal,DOD,Air Force,2404,DAF Brooks AFB/Aerospace Medical Division,
Federal,DOD,Air Force,2438,DAF Cambridge Research Laboratory,
Federal,DOD,Air Force,2442,DAF George AFB,
Federal,DOD,Air Force,2448,DAF Eglin Air Force Base,
Federal,DOD,Air Force,2588,DAF Wright-Patterson AFB,
Federal,DOD,Air Force,2580,DAF Air Force Security Service San Antonio,
Federal,DOD,Air Force,2572,DAF Air Force Academy,
Federal,DOD,Air Force,2557,DAF Space & Missile Org,
Federal,DOD,Air Force,2556,DAF Sheppard AFB/Technical Training Center,
Federal,DOD,Air Force,2548,DAF Kelly AFB/San Antonio Air Material Area,
Federal,DOD,Air Force,2544,DAF Air Force Research Laboratory,AFRL
Federal,DOD,Air Force,2528,DAF Hill AFB,
Federal,DOD,Air Force,2520,DAF Office of Aerospace Research,OAR
Federal,DOD,Air Force,2512,DAF Holloman AFB/Missile Development Center,
Federal,DOD,Air Force,2508,DAF McClellan AFB,
Federal,DOD,Air Force,2506,DAF Tyndal AFB,
Federal,DOD,Air Force,2504,DAF Maxwell AFB,
Federal,DOD,Air Force,2499,DAF Air Force Bases and Agencies Miscellaneous,
Federal,DOD,Air Force,2464,DAF Hanscom Field Laurence G,
Federal,DOD,Air Force,2452,DAF Electronic Systems Division (AFSC),
Federal,DOD,Air Force,2444,DAF Edwards Air Force Base,
Federal,DOD,Air Force,2440,DAF Chanute AFB/Technical Training Center,
Federal,DOD,Air Force,2424,DAF Air Force Systems Command,AFSC
Federal,DOD,Air Force,2412,DAF Air Force Aeronautical Chart/Information Cent,
Federal,DOD,Air Force,2416,DAF AFOSR Air Force Office of Scientific Research,AFOSR
Federal,DOD,Air Force,2420,DAF Kirtland AFB/Special Weapons Center,
Federal,DOD,Air Force,2408,DAF AFIT Montgomery Alabama,
Federal,DOD,Army,2610,DA ARO Army Research Office,ARO
Federal,DOD,Army,2726,DA Army Laboratory Command,
Federal,DOD,Army,2725,DA Army Corps of Engrs/Research & Development Labs,USACE
Federal,DOD,Army,2715,DA Army Electronics Command,
Federal,DOD,Army,2710,DA Army Defense Supply Service - Washington,
Federal,DOD,Army,2706,DA Army Defense Language Institute,
Federal,DOD,Army,2702,DA Army Corps of Engrs/Waterways Experiment Stn,
Federal,DOD,Army,2700,DA Army Corps of Engrs/Walla Walla District,
Federal,DOD,Army,2698,DA Army Corps of Engrs/South Pacific Division,
Federal,DOD,Army,2696,DA Army Corps of Engrs/N.Pacific Div Materials Lab,
Federal,DOD,Army,2799,DA Army Bases and Agencies Miscellaneous,
Federal,DOD,Army,2797,DA Tank-Automotive Command,
Federal,DOD,Army,2795,DA Army Southwest Procurement Agency,
Federal,DOD,Army,2785,DA Army Security Agency,ASA
Federal,DOD,Army,2775,"DA ARO Army Research Office, North Carolina",
Federal,DOD,Army,2766,DA Army Procurement Agency Europe,
Federal,DOD,Army,2765,DA Army Northwest Procurement Agency,
Federal,DOD,Army,2760,DA Army Corps of Engrs/Sacramento District,
Federal,DOD,Army,2755,DA Natick Laboratories,
Federal,DOD,Army,2750,DA Army Mobility Equipment Research & Devel Center,
Federal,DOD,Army,2735,DA Army Medical Research and Materiel Command,
Federal,DOD,Army,2731,DA Army Material & Mechanics Research Center,
Federal,DOD,Army,2730,DA Army Construction Engineering Research Lab,CERL
Federal,DOD,Army,2695,DA Army Corps of Engrs/Los Angeles District,
Federal,DOD,Army,2694,DA Army Corps of Engrs/Kansas City District,
Federal,DOD,Army,2692,DA Army Corps of Engrs/Coastal Engr Research Center,
Federal,DOD,Army,2685,DA Army Corps of Engineers/Omaha District,
Federal,DOD,Army,2684,DA Army Cold Regions Research & Engineering Lab,CRREL
Federal,DOD,Army,2680,DA Army Biological Laboratories,
Federal,DOD,Army,2675,DA Army Corps of Engrs/Nuclear Cratering,
Federal,DOD,Army,2670,"DA Office of Civil Defense, Osa",
Federal,DOD,Army,00FE3B,"DA Army Engineers/Vicksburg District, Corps of",
Federal,DOD,Army,2613,"DA Army Intelligence Center, Fort Huachuca",
Federal,DOD,Army,2665,DA Army Corps of Engrs/San Francisco District,
Federal,DOD,Army,2660,DA White Sands Missile Range/HQ,
Federal,DOD,Army,2655,DA Armed Forces Institute,
Federal,DOD,Army,2650,DA Army Material Command/HQ,
Federal,DOD,Army,2640,"DA Sixth Army, Presidio of San Francisco",
Federal,DOD,Army,2636,Department of Army Hydrologic Engineering Center,HEC
Federal,DOD,Army,2633,"DA Army Chief of Engineers, Office of",
Federal,DOD,Army,2631,"DA Fort McArthur, San Pedro",
Federal,DOD,Army,2615,DA Army Aeronautical Research Laboratory,
Federal,DOD,Army,2617,DA Ballistic Missile Defense Systems Command,
Federal,DOD,Army,2618,DA Picatinny Arsenal,
Federal,DOD,Army,2624,DA Sacramento Army Depot,
Federal,DOD,Army,2620,DA Brooke Army Medical Center,
Federal,DOD,Army,2612,DA Army Belvoir Research & Development Center,BRDC
Federal,DOD,Army,2611,DA Army Research Institute,ARI
Federal,DOD,Navy,152,"DOD Naval Supply, Charleston S.C. Center",
Federal,DOD,Navy,2952,DOD Naval Research Laboratory,NRL
Federal,DOD,Navy,2947,"DOD Naval Regional Medical Center, Oakland",
Federal,DOD,Navy,2944,DOD Naval Post Graduate School,NPS
Federal,DOD,Navy,2936,DOD Naval Ordnance Laboratory,
Federal,DOE Category,National Labs,6766,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,LLNL
Federal,DOE Category,National Labs,6775,UC Lab of Biomedical & Environmental Sciences,
Federal,DOE Category,National Labs,8149,Pacific Northwest National Laboratories,PNNL
Federal,DOE Category,National Labs,3664,Idaho National Laboratory,
Federal,DOE Category,National Labs,9463,FNAL Fermilab Fermi National Accelerator Laboratory,FNAL
Federal,DOE Category,National Labs,5062,ANL Argonne National Laboratory,ANL
Industry,USA Industry Category,USA Industry,5080,Oak Ridge National Laboratory,ORNL
Federal,DOE Category,National Labs,6770,DO NOT USE (Use Code 00FFDD) - Los Alamos National Laboratory,LANL
Federal,DOED Category,DOED,3002,DOED Assistant Secretary for Educational Research & Improvement,DOED
Federal,DOED Category,DOED,3005,DOED: National Institute of Education,NIE
Federal,DOED Category,DOED,3008,DOED Deputy Under Secretary for Management,DOED
Federal,DOED Category,DOED,3090,DOED Assistant Secretary for Special Education/Rehabilitation Services,DOED
Federal,DOED Category,DOED,3099,DOED Other Miscellaneous Agencies,DOED
Federal,DOED Category,DOED,3094,DOED Assistant Secreatry for Vocational and Adult Education,DOED
Federal,DOED Category,DOED,3080,DOED US Department of Education,DOED
Federal,DOED Category,DOED,3006,DOED Assistant Secretary for Elementary/Secondary Education,DOED
Federal,DOT Category,DOT,880,DOT Maritime Administration,MARAD
Federal,DOT Category,DOT,4630,DOT FAA Federal Aviation Administration,FAA
Federal,DOT Category,DOT,4631,DOT Program of University Research,
Federal,DOT Category,DOT,6517,DOT Research and Innovation Technology Administration,RITA
Federal,DOT Category,DOT,4633,DOT Research and Special Programs Administration,
Federal,DOT Category,DOT,4635,DOT Federal Transit Administration,FTA
Federal,DOT Category,DOT,4685,DOT National Highway Traffic Safety Administration,NHTSA
Federal,DOT Category,DOT,4690,DOT Office of the Secretary,
Federal,DOT Category,DOT,4687,DOT Office of Systems Engineering,
Federal,DOT Category,DOT,4680,DOT Federal Railroad Administration,FRA
Federal,DOT Category,DOT,4670,DOT Coast Guard,
Federal,DOT Category,DOT,4660,DOT Federal Highway Administration,FHWA
Federal,NASA Category,NASA,5107,NASA National Aeronautics and Space Administration Ames University Consortium,NASA
Federal,NASA Category,NASA,5109,NASA National Aeronautics and Space Administration Dryden Flight Research Center,NASA
Federal,NASA Category,NASA,5118,NASA National Aeronautics and Space Administration Goddard Space Flight Center,NASA
Federal,NASA Category,NASA,5112,NASA National Aeronautics and Space Administration George C Marshall Space Flight Center,NASA
Federal,NASA Category,NASA,5128,NASA National Aeronautics and Space Administration Langley Research Center,NASA
Federal,NASA Category,NASA,5132,NASA National Aeronautics and Space Administration Lyndon B Johnson Space Center,NASA
Federal,NASA Category,NASA,5136,"NASA National Aeronautics and Space Administration, Headquarters",NASA
Federal,NASA Category,NASA,5133,NASA National Aeronautics and Space Administration Wallops Flight Facility,NASA
Federal,NASA Category,NASA,5130,NASA National Aeronautics and Space Administration Glenn Research Center,NASA
Federal,NASA Category,NASA,5105,NASA National Aeronautics and Space Administration Shared Services Center,NASA
Federal,NASA Category,NASA,5106,NASA National Aeronautics and Space Administration Ames Research Center,NASA
Federal,NASA Category,NASA,5101,NASA National Aeronautics and Space Administration Miscellaneous Centers,NASA
Federal,NASA Category,NASA,5124,NASA National Aeronautics and Space Administration John F Kennedy Space Flight Center,NASA
Federal,NASA Category,NASA,5120,NASA National Aeronautics and Space Administration Edwards Flight Research Center,NASA
Federal,NSF Category,NSF,5400,NSF National Science Foundation,NSF
Federal,USDA Category,USDA,300,USDA Forest Service,USDA
Federal,USDA Category,USDA,315,USDA Northeastern Forest Experiment Station,USDA
Federal,USDA Category,USDA,324,USDA Pacific Northwest Forest/Range Experiment Station,USDA
Federal,USDA Category,USDA,326,USDA Rocky Mountain Forest/Range Experiment Station,USDA
Federal,USDA Category,USDA,340,USDA Agricultural Marketing Service,USDA
Federal,USDA Category,USDA,599,USDA Miscellaneous,USDA
Federal,USDA Category,USDA,550,USDA Natural Resources Conservation Service,USDA
Federal,USDA Category,USDA,540,USDA Science and Education Administration,USDA
Federal,USDA Category,USDA,480,USDA Foreign Agricultural Service,USDA
Federal,USDA Category,USDA,470,USDA Food and Nutrition Service,USDA
Federal,USDA Category,USDA,460,USDA Extension Service,USDA
Federal,USDA Category,USDA,455,USDA Economics Research Service,USDA
Federal,USDA Category,USDA,450,USDA National Institute for Food and Agriculture,USDA
Federal,USDA Category,USDA,435,USDA Animal and Plant Health Inspection Service,USDA
Federal,USDA Category,USDA,430,USDA Agricultural Stabilization and Con Service,USDA
Federal,USDA Category,USDA,362,USDA International Affairs and Commodity Programs,USDA
Federal,USDA Category,USDA,350,USDA Agricultural Research Service,USDA
Federal,USDA Category,USDA,334,USDA Agricultural Cooperative Service,USDA
Federal,USDA Category,USDA,325,USDA Pacific Southwest Forest/Range Experiment Station,USDA
Federal,USDA Category,USDA,318,USDA Office of Grants and Program Systems,USDA
Federal,USDI Category,USDI,4113,USDI Office of Surface Mining Reclamation and Enforcement,OSMRE
Federal,USDI Category,USDI,4199,USDI Other Miscellaneous Agencies,
Federal,USDI Category,USDI,4190,USDI Geological Survey,USGS
Federal,USDI Category,USDI,4123,USDI Bureau of Reclamation,
Federal,USDI Category,USDI,4125,USDI Bureau of Indian Affairs,BIA
Federal,USDI Category,USDI,4130,USDI Bureau of Land Management,BLM
Federal,USDI Category,USDI,4180,USDI National Park Service,NPS
Federal,USDI Category,USDI,4132,USDI Fish and Wildlife Service,FWS
Federal,USDI Category,USDI,4120,USDI MMS Minerals Management Service,MMS
Federal,USDI Category,USDI,4115,USDI Office of Water Research & Technology,
Federal,Other Federal Category,Commerce,760,USDCOM Bureau of Census,
Federal,Other Federal Category,Commerce,999,"USDCOM Commerce, Miscellaneous",
Federal,Other Federal Category,Commerce,830,USDCOM Economic Development Administration,EDA
Federal,Other Federal Category,Commerce,770,NOAA National Oceanic & Atmospheric Administration,NOAA
Federal,Other Federal Category,Commerce,790,USDCOM Marine Fisheries Service,NMFS
Federal,Other Federal Category,Commerce,800,NIST National Institute of Standards & Technology,NIST
Federal,Other Federal Category,EPA,3900,EPA Environmental Protection Agency,EPA
Federal,Other Federal Category,HUD,4000,HUD Housing and Urban Development,HUD
Federal,Other Federal Category,Justice,4225,FBI Federal Bureau of Investigation,FBI
Federal,Other Federal Category,Justice,4250,Law Enforcement Assistance Administration,LEEA
Federal,Other Federal Category,Justice,4260,USDJ Office of Justice Programs,OJP
Non Federal Governmental,California,Local Agencies & Schools,7019,"Ventura County, Comprehensive Health Plan Assn of",
Federal,Other Federal Category,Justice,4265,National Institute of Corrections,NIC
Federal,Other Federal Category,Justice,5295,USDJ State Justice Institute,SJI
Federal,Other Federal Category,Justice,4299,US Department of Justice/Miscellaneous Agencies & Programs,
Federal,Other Federal Category,Labor,4320,DOL Employment and Training Administration,ETA
Federal,Other Federal Category,Labor,4399,DOL Miscellaneous Agencies and Programs,
Federal,Other Federal Category,Labor,4360,DOL Neighborhood Youth Corps,
Federal,Other Federal Category,Labor,4313,DOL Bureau of Labor Statistics,BLS
Federal,Other Federal Category,Labor,4350,DOL Occupational Safety and Health Administration,OSHA
Federal,Other Federal Category,NEA/NEH/IMS,3004,IMLS Institute of Museum and Library Services,IMLS
Federal,Other Federal Category,NEA/NEH/IMS,5280,NEH National Endowment for the Humanities,NEH
Federal,Other Federal Category,NEA/NEH/IMS,5260,NEA National Endowment for the Arts,NEA
Federal,Other Federal Category,USIA,5707,USIA United States Information Agency,USIA
Federal,Other Federal Category,All Other Federal,205,Leg Comm Study Intl Migration & Coop Econ Develop,
Federal,Other Federal Category,All Other Federal,161,Exec OP Office of Science and Technology,
Federal,Other Federal Category,All Other Federal,1855,FCC  Federal Communication Commission,FCC
Federal,Other Federal Category,All Other Federal,5725,United States Institute of Peace,USIP
Federal,Other Federal Category,All Other Federal,5276,SEC Securities and Exchange Commission,SEC
Federal,Other Federal Category,All Other Federal,5275,Presidential Commission on World Hunger,
Federal,Other Federal Category,All Other Federal,5271,OPM Office of Personnel Management,OPM
Federal,Other Federal Category,All Other Federal,5270,NRC Nuclear Regulatory Commission,NRC
Federal,Other Federal Category,All Other Federal,5208,Federal Home Loan Bank Board,
Federal,Other Federal Category,All Other Federal,5205,National Center for Productivity/Quality of Working Life,
Federal,Other Federal Category,All Other Federal,5201,FEMA Federal Emergency Management Agency,FEMA
Federal,Other Federal Category,All Other Federal,5200,Equal Employment Opportunity Commission,EEOC
Non Federal Governmental,California,State Agencies,6533,California Air Resources Board,ARB
Non Federal Governmental,California,State Agencies,6530,California Department of Fish and Wildlife,DFG
Non Federal Governmental,California,State Agencies,6529,California Office of Environmental Health Hazard Assessment,OEHHA
Non Federal Governmental,California,State Agencies,6715,California Prison Industry Authority,CALPIS
Non Federal Governmental,California,State Agencies,6700,California Department of Motor Vehicles,DMV
Non Federal Governmental,California,State Agencies,6672,California Arts Council,CAC
Non Federal Governmental,California,State Agencies,6673,California Community Colleges,
Non Federal Governmental,California,State Agencies,6684,California Highway Patrol,CHP
Non Federal Governmental,California,State Agencies,6681,California Department of Transportation,CALTRANS
Non Federal Governmental,California,Local Agencies & Schools,8561,Hetch-Hetchy Water & Power,
Non Federal Governmental,California,Local Agencies & Schools,6914,Monterey Peninsula Water Management District,MPWMD
Non Federal Governmental,California,Local Agencies & Schools,1284,Fall River Resource Conservation District,
Non Federal Governmental,California,Local Agencies & Schools,1271,Bay Area Air Quality Management District,BAAQMD
Non Federal Governmental,California,Local Agencies & Schools,1220,Monterey Bay Unified Air Pollution Control Dist,MBUAPCD
Non Federal Governmental,California,Local Agencies & Schools,1190,Orange County Sanitation District,OCSD
Non Federal Governmental,California,Local Agencies & Schools,1041,Sutter-Yuba Mosquito Abatement District,
Non Federal Governmental,California,Local Agencies & Schools,1018,Irvine Ranch Water District,
Non Federal Governmental,California,Local Agencies & Schools,1016,East San Gabriel Valley Regional Occupational Pgm,
Non Federal Governmental,California,Local Agencies & Schools,761,Philadelphia School District of,
Non Federal Governmental,California,Local Agencies & Schools,9972,Orange County Transportation Authority,OCTA
Non Federal Governmental,California,Local Agencies & Schools,7999,Yuba County,
Non Federal Governmental,California,Local Agencies & Schools,7994,"Sacramento, County of",
Non Federal Governmental,California,Local Agencies & Schools,7972,"Inyo, County of",
Non Federal Governmental,California,Local Agencies & Schools,7869,Kern County,
Non Federal Governmental,California,Local Agencies & Schools,7529,"West Valley Vector Control District, San Bernadino",
Non Federal Governmental,California,Local Agencies & Schools,7500,"Tuolumne, County of",
Non Federal Governmental,California,Local Agencies & Schools,7246,Alameda County Health Care Services Agency,
Non Federal Governmental,California,Local Agencies & Schools,7199,Monterey County Office of Education,MCOE
Non Federal Governmental,California,Local Agencies & Schools,7110,Contra Costa County,
Non Federal Governmental,California,Local Agencies & Schools,7077,Alameda County District Attorney's Office,
Non Federal Governmental,California,Local Agencies & Schools,7054,"Tulare, County of",
Non Federal Governmental,California,Local Agencies & Schools,7027,Yolo County,
Non Federal Governmental,California,Local Agencies & Schools,7016,Ventura County,
Non Federal Governmental,California,Local Agencies & Schools,7012,Sonoma County Regional Parks,
Non Federal Governmental,California,Local Agencies & Schools,6917,North-West Mosquito Abatement District,NWMAD
Non Federal Governmental,California,Local Agencies & Schools,6935,Orange County Health Dept,OCHD
Non Federal Governmental,California,Local Agencies & Schools,6934,Orange County Grand Jury,
Non Federal Governmental,California,Local Agencies & Schools,6933,Orange County General Hospital,
Non Federal Governmental,California,Local Agencies & Schools,6929,Orange County Criminal Justice Council,
Non Federal Governmental,California,Local Agencies & Schools,6911,Napa County,
Non Federal Governmental,California,Local Agencies & Schools,6909,Monterey County,
Non Federal Governmental,California,Local Agencies & Schools,6906,"Merced, County of",
Non Federal Governmental,California,Local Agencies & Schools,7007,Stanislaus County,
Non Federal Governmental,California,Local Agencies & Schools,1682,Contra Costa Resource Conservation District,CCRCD
Non Federal Governmental,California,Local Agencies & Schools,6997,"Santa Cruz, County of",
Non Federal Governmental,California,Local Agencies & Schools,6996,San Mateo County,
Non Federal Governmental,California,Local Agencies & Schools,6995,Santa Clara County,
Non Federal Governmental,California,Local Agencies & Schools,6994,"Santa Barbara, County of",
Non Federal Governmental,California,Local Agencies & Schools,6991,"San Luis Obispo, County of",
Non Federal Governmental,California,Local Agencies & Schools,6986,"San Joaquin, County of",
Non Federal Governmental,California,Local Agencies & Schools,6985,San Joaquin County Community Action Council,
Non Federal Governmental,California,Local Agencies & Schools,6981,"San Diego, County of",
Non Federal Governmental,California,Local Agencies & Schools,6999,Santa Monica Unified School District,SMMUSD
Non Federal Governmental,California,Local Agencies & Schools,6993,Santa Barbara County Schools,SBCEO
Non Federal Governmental,California,Local Agencies & Schools,6987,San Jose Unified School Dist,
Non Federal Governmental,California,Local Agencies & Schools,7253,"Lake Elsinore, City of",
Non Federal Governmental,California,Local Agencies & Schools,7252,"Moreno Valley, City of",
Non Federal Governmental,California,Local Agencies & Schools,7165,"Irvine, City of",
Non Federal Governmental,California,Local Agencies & Schools,7112,"San Bernardino, City of",
Non Federal Governmental,California,Local Agencies & Schools,7102,"Long Beach, City of",
Non Federal Governmental,California,Local Agencies & Schools,7096,"San Mateo, City of",
Non Federal Governmental,California,Local Agencies & Schools,7089,Oakland-Alameda Coliseum Complex,
Non Federal Governmental,California,Local Agencies & Schools,7078,"Vallejo, City of",
Non Federal Governmental,California,Local Agencies & Schools,7064,"New York and New Jersey, Port Authority for",
Non Federal Governmental,California,Local Agencies & Schools,7047,"Santa Ana, City of",
Non Federal Governmental,California,Local Agencies & Schools,6992,"Santa Barbara, City of",
Non Federal Governmental,California,Local Agencies & Schools,6988,"Santa Cruz, City of",
Non Federal Governmental,California,Local Agencies & Schools,6980,Sacramento Municipal Utility District,SMUD
Non Federal Governmental,California,Local Agencies & Schools,6978,"San Diego, City of",
Non Federal Governmental,California,Local Agencies & Schools,6977,San Diego Model Cities Program,
Non Federal Governmental,California,Local Agencies & Schools,6975,San Diego Mayors Committee for Jobs Inc.,
Non Federal Governmental,California,Local Agencies & Schools,6972,San Diego Ceta Administration,
Non Federal Governmental,California,Local Agencies & Schools,6965,"Sacramento Probation Dept, City of",
Non Federal Governmental,California,Local Agencies & Schools,6964,"Roseville, City of",
Non Federal Governmental,California,Local Agencies & Schools,6961,"Riverside, City of",
Non Federal Governmental,California,Local Agencies & Schools,6957,"Richmond, City of",
Non Federal Governmental,California,Local Agencies & Schools,6955,"Redondo Beach, City of",
Non Federal Governmental,California,Local Agencies & Schools,6945,"Palm Springs, City of",
Non Federal Governmental,California,Local Agencies & Schools,6927,"Oakland, Port of",
Non Federal Governmental,California,Local Agencies & Schools,6925,"Oakland, City of",
Non Federal Governmental,California,Local Agencies & Schools,6924,"Oceanside, City of",
Non Federal Governmental,California,Local Agencies & Schools,6919,"Novato, City of",
Non Federal Governmental,California,Local Agencies & Schools,6897,"Los Angeles, City of",
Non Federal Governmental,California,Local Agencies & Schools,6893,Los Angeles City Receiving Hospital,
Non Federal Governmental,California,Local Agencies & Schools,6891,Los Angeles Public Library,LAPL
